ÀÏÀÚ,¼Û±Ý,,ÇöÂû,,T/C»ç½Ç¶§,¸Å¸Å±âÁØÀ²,ÇÑ±¹ÀºÇà±âÁØÀ²,´ë¹ÌÈ¯»êÀ²
,º¸³»½Ç¶§,¹ÞÀ¸½Ç¶§,»ç½Ç¶§,ÆÄ½Ç¶§,,(ÀüÀÏ´ëºñ),,
2019.05.10,5.08,4.98,5.62,4.44,-/td>,5.03,5.02,-
,,,,,,»ó½Â0.03,,
2019.05.09,5.05,4.95,5.59,4.41,-/td>,5.00,5.01,-
,,,,,,ÇÏ¶ô-0.03,,
2019.05.08,5.08,4.98,5.62,4.44,-/td>,5.03,5.02,-
2019.05.07,5.08,4.98,5.62,4.44,-/td>,5.03,5.02,-
,,,,,,»ó½Â0.02,,
2019.05.03,5.06,4.96,5.60,4.42,-/td>,5.01,5.00,-
,,,,,,»ó½Â0.01,,
2019.05.02,5.05,4.95,5.59,4.41,-/td>,5.00,5.00,-
,,,,,,»ó½Â0.02,,
2019.04.30,5.02,4.94,5.57,4.39,-/td>,4.98,4.97,-
,,,,,,»ó½Â0.01,,
2019.04.29,5.01,4.93,5.55,4.39,-/td>,4.97,4.98,-
,,,,,,ÇÏ¶ô-0.02,,
2019.04.26,5.03,4.95,5.58,4.40,-/td>,4.99,4.99,-
2019.04.25,5.03,4.95,5.58,4.40,-/td>,4.99,4.94,-
,,,,,,»ó½Â0.07,,
2019.04.24,4.96,4.88,5.50,4.34,-/td>,4.92,4.91,-
,,,,,,»ó½Â0.01,,
2019.04.23,4.95,4.87,5.49,4.33,-/td>,4.91,4.91,-
,,,,,,»ó½Â0.01,,
2019.04.22,4.94,4.86,5.48,4.32,-/td>,4.90,4.90,-
2019.04.19,4.94,4.86,5.48,4.32,-/td>,4.90,4.90,-
,,,,,,»ó½Â0.02,,
2019.04.18,4.92,4.84,5.45,4.31,-/td>,4.88,4.90,-
,,,,,,ÇÏ¶ô-0.03,,
2019.04.17,4.95,4.87,5.49,4.33,-/td>,4.91,4.90,-
,,,,,,»ó½Â0.03,,
2019.04.16,4.92,4.84,5.45,4.31,-/td>,4.88,4.89,-
,,,,,,ÇÏ¶ô-0.02,,
2019.04.15,4.94,4.86,5.48,4.32,-/td>,4.90,4.92,-
,,,,,,ÇÏ¶ô-0.02,,
2019.04.12,4.96,4.88,5.50,4.34,-/td>,4.92,4.91,-
,,,,,,»ó½Â0.01,,
2019.04.11,4.95,4.87,5.49,4.33,-/td>,4.91,4.92,-
,,,,,,ÇÏ¶ô-0.01,,
2019.04.10,4.96,4.88,5.50,4.34,-/td>,4.92,4.93,-
2019.04.09,4.96,4.88,5.50,4.34,-/td>,4.92,4.92,-
,,,,,,»ó½Â0.01,,
2019.04.08,4.95,4.87,5.49,4.33,-/td>,4.91,4.90,-
,,,,,,»ó½Â0.02,,
2019.04.05,4.93,4.85,5.47,4.31,-/td>,4.89,4.89,-
2019.04.04,4.93,4.85,5.47,4.31,-/td>,4.89,4.89,-
,,,,,,ÇÏ¶ô-0.02,,
2019.04.03,4.95,4.87,5.49,4.33,-/td>,4.91,4.90,-
,,,,,,»ó½Â0.02,,
2019.04.02,4.93,4.85,5.47,4.31,-/td>,4.89,4.88,-
2019.04.01,4.93,4.85,5.47,4.31,-/td>,4.89,4.90,-
2019.03.29,4.93,4.85,5.47,4.31,-/td>,4.89,4.90,-
,,,,,,ÇÏ¶ô-0.02,,
2019.03.28,4.95,4.87,5.49,4.33,-/td>,4.91,4.89,-
,,,,,,»ó½Â0.02,,
