ÀÏÀÚ,¼Û±Ý,,ÇöÂû,,T/C»ç½Ç¶§,¸Å¸Å±âÁØÀ²,ÇÑ±¹ÀºÇà±âÁØÀ²,´ë¹ÌÈ¯»êÀ²
,º¸³»½Ç¶§,¹ÞÀ¸½Ç¶§,»ç½Ç¶§,ÆÄ½Ç¶§,,(ÀüÀÏ´ëºñ),,
2019.05.10,"1,336.11","1,309.67","1,348.95","1,296.83","1,342.73/td>","1,322.89","1,319.13",1.1200
,,,,,,ÇÏ¶ô-0.09,,
2019.05.09,"1,336.20","1,309.76","1,349.04","1,296.92","1,342.82/td>","1,322.98","1,310.00",1.1100
,,,,,,»ó½Â12.25,,
2019.05.08,"1,323.83","1,297.63","1,336.55","1,284.91","1,330.39/td>","1,310.73","1,309.30",1.1100
,,,,,,»ó½Â3.15,,
2019.05.07,"1,320.65","1,294.51","1,333.33","1,281.83","1,327.19/td>","1,307.58","1,309.96",1.1100
,,,,,,»ó½Â1.19,,
2019.05.03,"1,319.45","1,293.33","1,332.12","1,280.66","1,325.98/td>","1,306.39","1,300.66",1.1100
,,,,,,»ó½Â0.31,,
2019.05.02,"1,319.14","1,293.02","1,331.80","1,280.36","1,325.67/td>","1,306.08","1,303.75",1.1200
,,,,,,ÇÏ¶ô-0.66,,
2019.04.30,"1,319.80","1,293.68","1,332.48","1,281.00","1,326.34/td>","1,306.74","1,295.33",1.1200
,,,,,,»ó½Â10.93,,
2019.04.29,"1,308.76","1,282.86","1,321.33","1,270.29","1,315.24/td>","1,295.81","1,293.18",1.1100
,,,,,,»ó½Â2.78,,
2019.04.26,"1,305.96","1,280.10","1,318.50","1,267.56","1,312.42/td>","1,293.03","1,290.44",1.1100
,,,,,,ÇÏ¶ô-2.53,,
2019.04.25,"1,308.51","1,282.61","1,321.08","1,270.04","1,314.99/td>","1,295.56","1,279.42",1.1100
,,,,,,»ó½Â5.49,,
2019.04.24,"1,302.97","1,277.17","1,315.48","1,264.66","1,309.42/td>","1,290.07","1,280.60",1.1200
,,,,,,»ó½Â4.07,,
2019.04.23,"1,298.86","1,273.14","1,311.33","1,260.67","1,305.29/td>","1,286.00","1,284.60",1.1200
,,,,,,»ó½Â2.27,,
2019.04.22,"1,296.56","1,270.90","1,309.01","1,258.45","1,302.98/td>","1,283.73","1,278.44",1.1200
,,,,,,»ó½Â5.51,,
2019.04.19,"1,291.00","1,265.44","1,303.40","1,253.04","1,297.39/td>","1,278.22","1,276.80",1.1200
,,,,,,ÇÏ¶ô-2.83,,
2019.04.18,"1,293.86","1,268.24","1,306.28","1,255.82","1,300.26/td>","1,281.05","1,283.62",1.1200
,,,,,,ÇÏ¶ô-1.62,,
2019.04.17,"1,295.49","1,269.85","1,307.93","1,257.41","1,301.91/td>","1,282.67","1,281.30",1.1300
,,,,,,ÇÏ¶ô-2.03,,
2019.04.16,"1,297.54","1,271.86","1,310.00","1,259.40","1,303.97/td>","1,284.70","1,281.70",1.1300
,,,,,,»ó½Â2.82,,
2019.04.15,"1,294.69","1,269.07","1,307.13","1,256.63","1,301.10/td>","1,281.88","1,289.16",1.1300
,,,,,,ÇÏ¶ô-4.74,,
2019.04.12,"1,299.48","1,273.76","1,311.96","1,261.28","1,305.91/td>","1,286.62","1,282.74",1.1300
,,,,,,»ó½Â0.36,,
2019.04.11,"1,299.12","1,273.40","1,311.59","1,260.93","1,305.55/td>","1,286.26","1,286.87",1.1200
,,,,,,»ó½Â2.16,,
2019.04.10,"1,296.94","1,271.26","1,309.39","1,258.81","1,303.36/td>","1,284.10","1,287.42",1.1200
,,,,,,ÇÏ¶ô-1.70,,
2019.04.09,"1,298.65","1,272.95","1,311.13","1,260.47","1,305.08/td>","1,285.80","1,284.93",1.1200
,,,,,,ÇÏ¶ô-1.05,,
2019.04.08,"1,299.71","1,273.99","1,312.20","1,261.50","1,306.15/td>","1,286.85","1,274.87",1.1200
,,,,,,»ó½Â9.45,,
2019.04.05,"1,290.17","1,264.63","1,302.56","1,252.24","1,296.56/td>","1,277.40","1,274.31",1.1200
,,,,,,ÇÏ¶ô-0.91,,
2019.04.04,"1,291.09","1,265.53","1,303.49","1,253.13","1,297.48/td>","1,278.31","1,276.20",1.1200
,,,,,,»ó½Â2.69,,
2019.04.03,"1,288.37","1,262.87","1,300.74","1,250.50","1,294.75/td>","1,275.62","1,272.61",1.1200
,,,,,,»ó½Â2.75,,
2019.04.02,"1,285.59","1,260.15","1,297.94","1,247.80","1,291.96/td>","1,272.87","1,269.30",1.1100
,,,,,,ÇÏ¶ô-3.22,,
2019.04.01,"1,288.85","1,263.33","1,301.22","1,250.96","1,295.23/td>","1,276.09","1,274.99",1.1200
,,,,,,»ó½Â0.81,,
2019.03.29,"1,288.03","1,262.53","1,300.40","1,250.16","1,294.40/td>","1,275.28","1,277.46",1.1200
,,,,,,ÇÏ¶ô-5.09,,
2019.03.28,"1,293.17","1,267.57","1,305.59","1,255.15","1,299.57/td>","1,280.37","1,276.48",1.1200
,,,,,,ÇÏ¶ô-0.58,,
2019.03.27,"1,293.75","1,268.15","1,306.18","1,255.72","1,300.16/td>","1,280.95","1,276.33",1.1200
,,,,,,ÇÏ¶ô-1.84,,
2019.03.26,"1,295.61","1,269.97","1,308.06","1,257.52","1,302.03/td>","1,282.79","1,284.08",1.1300
,,,,,,»ó½Â1.15,,
2019.03.25,"1,294.45","1,268.83","1,306.88","1,256.40","1,300.86/td>","1,281.64","1,276.17",1.1300
,,,,,,ÇÏ¶ô-0.12,,
2019.03.22,"1,294.57","1,268.95","1,307.01","1,256.51","1,300.98/td>","1,281.76","1,280.60",1.1300
,,,,,,ÇÏ¶ô-4.96,,
2019.03.21,"1,299.58","1,273.86","1,312.06","1,261.38","1,306.02/td>","1,286.72","1,291.54",1.1400
,,,,,,»ó½Â4.96,,
2019.03.20,"1,294.57","1,268.95","1,307.01","1,256.51","1,300.98/td>","1,281.76","1,284.08",1.1300
,,,,,,ÇÏ¶ô-2.26,,
2019.03.19,"1,296.86","1,271.18","1,309.31","1,258.73","1,303.28/td>","1,284.02","1,285.22",1.1300
,,,,,,ÇÏ¶ô-1.71,,
2019.03.18,"1,298.58","1,272.88","1,311.05","1,260.41","1,305.01/td>","1,285.73","1,286.41",1.1300
,,,,,,ÇÏ¶ô-0.79,,
2019.03.15,"1,299.38","1,273.66","1,311.86","1,261.18","1,305.81/td>","1,286.52","1,280.63",1.1300
,,,,,,»ó½Â2.27,,
2019.03.14,"1,297.09","1,271.41","1,309.54","1,258.96","1,303.51/td>","1,284.25","1,282.95",1.1300
,,,,,,»ó½Â4.19,,
2019.03.13,"1,292.86","1,267.26","1,305.27","1,254.85","1,299.26/td>","1,280.06","1,274.25",1.1200
,,,,,,»ó½Â5.42,,
2019.03.12,"1,287.38","1,261.90","1,299.75","1,249.53","1,293.75/td>","1,274.64","1,278.24",1.1200
,,,,,,ÇÏ¶ô-0.43,,
2019.03.11,"1,287.82","1,262.32","1,300.18","1,249.96","1,294.19/td>","1,275.07","1,274.22",1.1200
,,,,,,»ó½Â0.84,,
2019.03.08,"1,286.97","1,261.49","1,299.33","1,249.13","1,293.34/td>","1,274.23","1,263.13",1.1200
,,,,,,ÇÏ¶ô-1.76,,
2019.03.07,"1,288.74","1,263.24","1,301.12","1,250.86","1,295.12/td>","1,275.99","1,275.49",1.1300
,,,,,,ÇÏ¶ô-0.35,,
2019.03.06,"1,289.10","1,263.58","1,301.48","1,251.20","1,295.48/td>","1,276.34","1,272.55",1.1300
,,,,,,ÇÏ¶ô-0.89,,
2019.03.05,"1,290.00","1,264.46","1,302.39","1,252.07","1,296.38/td>","1,277.23","1,275.47",1.1300
,,,,,,»ó½Â0.23,,
2019.03.04,"1,289.77","1,264.23","1,302.15","1,251.85","1,296.15/td>","1,277.00","1,274.17",1.1300
,,,,,,ÇÏ¶ô-2.45,,
2019.02.28,"1,292.24","1,266.66","1,304.65","1,254.25","1,298.64/td>","1,279.45","1,271.50",1.1300
,,,,,,»ó½Â4.69,,
2019.02.27,"1,287.50","1,262.02","1,299.87","1,249.65","1,293.88/td>","1,274.76","1,273.91",1.1300
,,,,,,»ó½Â4.94,,
2019.02.26,"1,282.51","1,257.13","1,294.83","1,244.81","1,288.86/td>","1,269.82","1,273.28",1.1300
,,,,,,ÇÏ¶ô-1.83,,
2019.02.25,"1,284.36","1,258.94","1,296.70","1,246.60","1,290.72/td>","1,271.65","1,276.21",1.1300
,,,,,,ÇÏ¶ô-3.98,,
2019.02.22,"1,288.38","1,262.88","1,300.75","1,250.51","1,294.76/td>","1,275.63","1,274.45",1.1300
,,,,,,ÇÏ¶ô-2.49,,
2019.02.21,"1,290.90","1,265.34","1,303.29","1,252.95","1,297.29/td>","1,278.12","1,273.53",1.1300
,,,,,,»ó½Â2.61,,
2019.02.20,"1,288.26","1,262.76","1,300.63","1,250.39","1,294.64/td>","1,275.51","1,278.36",1.1300
,,,,,,ÇÏ¶ô-1.39,,
2019.02.19,"1,289.66","1,264.14","1,302.05","1,251.75","1,296.05/td>","1,276.90","1,271.98",1.1300
,,,,,,»ó½Â4.75,,
2019.02.18,"1,284.87","1,259.43","1,297.21","1,247.09","1,291.23/td>","1,272.15","1,273.29",1.1200
,,,,,,ÇÏ¶ô-1.48,,
2019.02.15,"1,286.36","1,260.90","1,298.72","1,248.54","1,292.73/td>","1,273.63","1,270.97",1.1200
,,,,,,»ó½Â2.94,,
2019.02.14,"1,283.39","1,257.99","1,295.72","1,245.66","1,289.75/td>","1,270.69","1,262.98",1.1200
,,,,,,ÇÏ¶ô-0.20,,
2019.02.13,"1,283.59","1,258.19","1,295.92","1,245.86","1,289.95/td>","1,270.89","1,274.57",1.1300
,,,,,,»ó½Â4.14,,
2019.02.12,"1,279.41","1,254.09","1,291.70","1,241.80","1,285.75/td>","1,266.75","1,267.99",1.1200
,,,,,,ÇÏ¶ô-7.09,,
2019.02.11,"1,286.57","1,261.11","1,298.93","1,248.75","1,292.94/td>","1,273.84","1,272.88",1.1300
,,,,,,»ó½Â1.37,,
2019.02.08,"1,285.19","1,259.75","1,297.53","1,247.41","1,291.55/td>","1,272.47","1,274.05",1.1300
,,,,,,ÇÏ¶ô-6.44,,
2019.02.07,"1,291.69","1,266.13","1,304.10","1,253.72","1,298.09/td>","1,278.91","1,269.52",1.1300
,,,,,,ÇÏ¶ô-1.66,,
2019.02.01,"1,293.37","1,267.77","1,305.79","1,255.35","1,299.77/td>","1,280.57","1,272.50",1.1400
,,,,,,»ó½Â0.82,,
2019.01.31,"1,292.54","1,266.96","1,304.96","1,254.54","1,298.94/td>","1,279.75","1,283.05",1.1400
,,,,,,»ó½Â2.23,,
2019.01.30,"1,290.29","1,264.75","1,302.68","1,252.36","1,296.68/td>","1,277.52","1,278.49",1.1400
,,,,,,ÇÏ¶ô-2.60,,
2019.01.29,"1,292.92","1,267.32","1,305.33","1,254.91","1,299.32/td>","1,280.12","1,276.56",1.1400
,,,,,,»ó½Â3.34,,
2019.01.28,"1,289.54","1,264.02","1,301.93","1,251.63","1,295.93/td>","1,276.78","1,283.91",1.1400
,,,,,,»ó½Â6.34,,
2019.01.25,"1,283.14","1,257.74","1,295.46","1,245.42","1,289.49/td>","1,270.44","1,274.92",1.1300
,,,,,,ÇÏ¶ô-13.24,,
2019.01.24,"1,296.51","1,270.85","1,308.96","1,258.40","1,302.93/td>","1,283.68","1,284.40",1.1300
,,,,,,»ó½Â1.48,,
2019.01.23,"1,295.02","1,269.38","1,307.45","1,256.95","1,301.43/td>","1,282.20","1,284.30",1.1300
,,,,,,ÇÏ¶ô-2.85,,
2019.01.22,"1,297.90","1,272.20","1,310.36","1,259.74","1,304.32/td>","1,285.05","1,280.72",1.1300
,,,,,,ÇÏ¶ô-1.24,,
2019.01.21,"1,299.15","1,273.43","1,311.62","1,260.96","1,305.58/td>","1,286.29","1,274.53",1.1300
,,,,,,»ó½Â7.55,,
2019.01.18,"1,291.52","1,265.96","1,303.93","1,253.55","1,297.92/td>","1,278.74","1,277.16",1.1300
,,,,,,ÇÏ¶ô-0.24,,
2019.01.17,"1,291.76","1,266.20","1,304.17","1,253.79","1,298.16/td>","1,278.98","1,278.74",1.1300
,,,,,,ÇÏ¶ô-0.31,,
2019.01.16,"1,292.08","1,266.50","1,304.49","1,254.09","1,298.47/td>","1,279.29","1,277.92",1.1400
,,,,,,ÇÏ¶ô-5.15,,
2019.01.15,"1,297.28","1,271.60","1,309.74","1,259.14","1,303.70/td>","1,284.44","1,286.41",1.1400
,,,,,,ÇÏ¶ô-3.98,,
2019.01.14,"1,301.30","1,275.54","1,313.80","1,263.04","1,307.74/td>","1,288.42","1,281.61",1.1400
,,,,,,»ó½Â2.35,,
2019.01.11,"1,298.93","1,273.21","1,311.40","1,260.74","1,305.36/td>","1,286.07","1,286.90",1.1500
,,,,,,ÇÏ¶ô-4.93,,
2019.01.10,"1,303.91","1,278.09","1,316.43","1,265.57","1,310.36/td>","1,291.00","1,295.34",1.1500
,,,,,,»ó½Â4.86,,
2019.01.09,"1,299.00","1,273.28","1,311.47","1,260.81","1,305.43/td>","1,286.14","1,284.18",1.1400
,,,,,,ÇÏ¶ô-1.09,,
2019.01.08,"1,300.10","1,274.36","1,312.58","1,261.88","1,306.53/td>","1,287.23","1,283.30",1.1400
,,,,,,»ó½Â7.64,,
2019.01.07,"1,292.38","1,266.80","1,304.79","1,254.39","1,298.78/td>","1,279.59","1,283.85",1.1400
,,,,,,ÇÏ¶ô-3.01,,
2019.01.04,"1,295.42","1,269.78","1,307.86","1,257.34","1,301.83/td>","1,282.60","1,284.62",1.1400
,,,,,,ÇÏ¶ô-0.61,,
2019.01.03,"1,296.04","1,270.38","1,308.48","1,257.94","1,302.45/td>","1,283.21","1,270.51",1.1300
,,,,,,»ó½Â1.69,,
2019.01.02,"1,294.33","1,268.71","1,306.76","1,256.28","1,300.74/td>","1,281.52","1,281.96",1.1400
,,,,,,»ó½Â7.11,,
2018.12.31,"1,287.15","1,261.67","1,299.51","1,249.31","1,293.52/td>","1,274.41","1,279.16",1.1400
,,,,,,ÇÏ¶ô-4.86,,
2018.12.28,"1,292.06","1,266.48","1,304.47","1,254.07","1,298.45/td>","1,279.27","1,281.81",1.1400
,,,,,,»ó½Â3.03,,
2018.12.27,"1,289.00","1,263.48","1,301.38","1,251.10","1,295.38/td>","1,276.24","1,278.29",1.1300
,,,,,,ÇÏ¶ô-6.39,,
2018.12.26,"1,295.45","1,269.81","1,307.89","1,257.37","1,301.86/td>","1,282.63","1,284.25",1.1300
,,,,,,ÇÏ¶ô-0.10,,
2018.12.24,"1,295.55","1,269.91","1,307.99","1,257.47","1,301.97/td>","1,282.73","1,277.87",1.1300
,,,,,,ÇÏ¶ô-4.91,,
2018.12.21,"1,300.51","1,274.77","1,313.00","1,262.28","1,306.95/td>","1,287.64","1,293.10",1.1400
,,,,,,»ó½Â0.73,,
2018.12.20,"1,299.77","1,274.05","1,312.26","1,261.56","1,306.21/td>","1,286.91","1,281.10",1.1400
,,,,,,»ó½Â3.04,,
2018.12.19,"1,296.70","1,271.04","1,309.16","1,258.58","1,303.12/td>","1,283.87","1,285.09",1.1300
,,,,,,»ó½Â0.31,,
2018.12.18,"1,296.39","1,270.73","1,308.84","1,258.28","1,302.81/td>","1,283.56","1,284.25",1.1300
,,,,,,»ó½Â3.04,,
2018.12.17,"1,293.32","1,267.72","1,305.74","1,255.30","1,299.72/td>","1,280.52","1,276.79",1.1300
,,,,,,ÇÏ¶ô-0.91,,
2018.12.14,"1,294.24","1,268.62","1,306.67","1,256.19","1,300.65/td>","1,281.43","1,276.70",1.1300
,,,,,,»ó½Â0.50,,
2018.12.13,"1,293.73","1,268.13","1,306.16","1,255.70","1,300.14/td>","1,280.93","1,282.53",1.1300
,,,,,,»ó½Â1.65,,
2018.12.12,"1,292.07","1,266.49","1,304.48","1,254.08","1,298.46/td>","1,279.28","1,278.71",1.1300
,,,,,,ÇÏ¶ô-8.14,,
2018.12.11,"1,300.29","1,274.55","1,312.78","1,262.06","1,306.73/td>","1,287.42","1,277.04",1.1300
,,,,,,»ó½Â0.15,,
2018.12.10,"1,300.14","1,274.40","1,312.62","1,261.92","1,306.57/td>","1,287.27","1,274.92",1.1400
,,,,,,»ó½Â12.03,,
2018.12.07,"1,287.99","1,262.49","1,300.36","1,250.12","1,294.36/td>","1,275.24","1,271.78",1.1300
,,,,,,»ó½Â7.29,,
2018.12.06,"1,280.62","1,255.28","1,292.92","1,242.98","1,286.96/td>","1,267.95","1,263.77",1.1300
,,,,,,»ó½Â5.02,,
2018.12.05,"1,275.55","1,250.31","1,287.80","1,238.06","1,281.87/td>","1,262.93","1,258.79",1.1300
,,,,,,»ó½Â2.72,,
2018.12.04,"1,272.81","1,247.61","1,285.03","1,235.39","1,279.11/td>","1,260.21","1,264.72",1.1300
,,,,,,ÇÏ¶ô-2.65,,
2018.12.03,"1,275.48","1,250.24","1,287.73","1,237.99","1,281.80/td>","1,262.86","1,269.36",1.1300
,,,,,,ÇÏ¶ô-14.31,,
2018.11.30,"1,289.94","1,264.40","1,302.33","1,252.01","1,296.32/td>","1,277.17","1,277.67",1.1300
,,,,,,»ó½Â1.36,,
2018.11.29,"1,288.56","1,263.06","1,300.94","1,250.68","1,294.94/td>","1,275.81","1,283.39",1.1300
,,,,,,»ó½Â4.55,,
2018.11.28,"1,283.97","1,258.55","1,296.30","1,246.22","1,290.32/td>","1,271.26","1,276.56",1.1200
,,,,,,ÇÏ¶ô-6.20,,
2018.11.27,"1,290.23","1,264.69","1,302.62","1,252.30","1,296.62/td>","1,277.46","1,280.12",1.1300
,,,,,,ÇÏ¶ô-5.98,,
2018.11.26,"1,296.27","1,270.61","1,308.72","1,258.16","1,302.69/td>","1,283.44","1,281.48",1.1300
,,,,,,ÇÏ¶ô-4.10,,
2018.11.23,"1,300.41","1,274.67","1,312.90","1,262.18","1,306.85/td>","1,287.54","1,287.34",1.1300
,,,,,,ÇÏ¶ô-0.43,,
2018.11.22,"1,300.84","1,275.10","1,313.34","1,262.60","1,307.28/td>","1,287.97","1,287.87",1.1300
,,,,,,ÇÏ¶ô-2.04,,
