ÀÏÀÚ,¼Û±Ý,,ÇöÂû,,T/C»ç½Ç¶§,¸Å¸Å±âÁØÀ²,ÇÑ±¹ÀºÇà±âÁØÀ²,´ë¹ÌÈ¯»êÀ²
,º¸³»½Ç¶§,¹ÞÀ¸½Ç¶§,»ç½Ç¶§,ÆÄ½Ç¶§,,(ÀüÀÏ´ëºñ),,
2019.05.10,"1,082.97","1,062.17","1,091.33","1,053.81","1,085.44/td>","1,072.57","1,071.39",0.9100
,,,,,,ÇÏ¶ô-4.98,,
2019.05.09,"1,088.00","1,067.10","1,096.40","1,058.70","1,090.48/td>","1,077.55","1,063.01",0.9100
,,,,,,»ó½Â15.00,,
2019.05.08,"1,072.85","1,052.25","1,081.14","1,043.96","1,075.30/td>","1,062.55","1,061.09",0.9000
,,,,,,»ó½Â6.20,,
2019.05.07,"1,066.59","1,046.11","1,074.83","1,037.87","1,069.02/td>","1,056.35","1,055.84",0.9000
,,,,,,»ó½Â6.38,,
2019.05.03,"1,060.15","1,039.79","1,068.34","1,031.60","1,062.56/td>","1,049.97","1,043.72",0.8900
,,,,,,»ó½Â5.27,,
2019.05.02,"1,054.83","1,034.57","1,062.98","1,026.42","1,057.23/td>","1,044.70","1,044.38",0.8900
,,,,,,ÇÏ¶ô-2.12,,
2019.04.30,"1,056.97","1,036.67","1,065.13","1,028.51","1,059.38/td>","1,046.82","1,037.02",0.8900
,,,,,,»ó½Â8.39,,
2019.04.29,"1,048.50","1,028.36","1,056.60","1,020.26","1,050.89/td>","1,038.43","1,039.16",0.8900
,,,,,,ÇÏ¶ô-0.88,,
2019.04.26,"1,049.39","1,029.23","1,057.49","1,021.13","1,051.78/td>","1,039.31","1,038.77",0.8900
,,,,,,ÇÏ¶ô-0.69,,
2019.04.25,"1,050.08","1,029.92","1,058.20","1,021.80","1,052.48/td>","1,040.00","1,022.60",0.8900
,,,,,,»ó½Â11.83,,
2019.04.24,"1,038.14","1,018.20","1,046.16","1,010.18","1,040.50/td>","1,028.17","1,020.07",0.8900
,,,,,,»ó½Â6.85,,
2019.04.23,"1,031.22","1,011.42","1,039.19","1,003.45","1,033.57/td>","1,021.32","1,019.07",0.8900
,,,,,,»ó½Â1.44,,
2019.04.22,"1,029.77","1,009.99","1,037.72","1,002.04","1,032.11/td>","1,019.88","1,016.04",0.8900
,,,,,,»ó½Â4.33,,
2019.04.19,"1,025.40","1,005.70","1,033.32",997.78,"1,027.73/td>","1,015.55","1,014.74",0.8900
,,,,,,ÇÏ¶ô-1.26,,
2019.04.18,"1,026.67","1,006.95","1,034.60",999.02,"1,029.01/td>","1,016.81","1,013.97",0.8900
,,,,,,»ó½Â4.58,,
2019.04.17,"1,022.04","1,002.42","1,029.94",994.52,"1,024.37/td>","1,012.23","1,013.97",0.8900
,,,,,,ÇÏ¶ô-2.60,,
2019.04.16,"1,024.67","1,004.99","1,032.58",997.08,"1,027.00/td>","1,014.83","1,012.55",0.8900
,,,,,,»ó½Â2.68,,
2019.04.15,"1,021.96","1,002.34","1,029.86",994.44,"1,024.29/td>","1,012.15","1,018.17",0.8900
,,,,,,ÇÏ¶ô-4.64,,
2019.04.12,"1,026.65","1,006.93","1,034.58",999.00,"1,028.99/td>","1,016.79","1,020.56",0.8900
,,,,,,ÇÏ¶ô-8.76,,
2019.04.11,"1,035.49","1,015.61","1,043.49","1,007.61","1,037.85/td>","1,025.55","1,028.71",0.8900
,,,,,,»ó½Â0.64,,
2019.04.10,"1,034.85","1,014.97","1,042.84","1,006.98","1,037.20/td>","1,024.91","1,028.21",0.8900
,,,,,,»ó½Â0.02,,
2019.04.09,"1,034.83","1,014.95","1,042.82","1,006.96","1,037.18/td>","1,024.89","1,024.09",0.8900
,,,,,,ÇÏ¶ô-2.74,,
2019.04.08,"1,037.59","1,017.67","1,045.61","1,009.65","1,039.96/td>","1,027.63","1,017.50",0.8900
,,,,,,»ó½Â8.83,,
2019.04.05,"1,028.68","1,008.92","1,036.62","1,000.98","1,031.02/td>","1,018.80","1,017.06",0.8900
,,,,,,ÇÏ¶ô-2.75,,
2019.04.04,"1,031.45","1,011.65","1,039.42","1,003.68","1,033.80/td>","1,021.55","1,018.26",0.8900
,,,,,,»ó½Â3.61,,
2019.04.03,"1,027.81","1,008.07","1,035.75","1,000.13","1,030.15/td>","1,017.94","1,020.26",0.8900
,,,,,,ÇÏ¶ô-2.71,,
2019.04.02,"1,030.55","1,010.75","1,038.51","1,002.79","1,032.89/td>","1,020.65","1,016.70",0.8900
,,,,,,ÇÏ¶ô-0.78,,
2019.04.01,"1,031.33","1,011.53","1,039.30","1,003.56","1,033.68/td>","1,021.43","1,024.11",0.9000
,,,,,,ÇÏ¶ô-3.93,,
2019.03.29,"1,035.30","1,015.42","1,043.30","1,007.42","1,037.66/td>","1,025.36","1,028.24",0.9000
