ÀÏÀÚ,¼Û±Ý,,ÇöÂû,,T/C»ç½Ç¶§,¸Å¸Å±âÁØÀ²,ÇÑ±¹ÀºÇà±âÁØÀ²,´ë¹ÌÈ¯»êÀ²
,º¸³»½Ç¶§,¹ÞÀ¸½Ç¶§,»ç½Ç¶§,ÆÄ½Ç¶§,,(ÀüÀÏ´ëºñ),,
2019.05.10,173.95,170.51,180.84,163.62,180.84/td>,172.23,172.19,0.1400
,,,,,,ÇÏ¶ô-0.48,,
2019.05.09,174.43,170.99,181.34,164.08,181.34/td>,172.71,172.32,0.1400
,,,,,,»ó½Â0.32,,
2019.05.08,174.11,170.67,181.00,163.78,181.00/td>,172.39,172.15,0.1400
,,,,,,ÇÏ¶ô-0.04,,
2019.05.07,174.15,170.71,181.05,163.81,181.05/td>,172.43,173.48,0.1400
,,,,,,ÇÏ¶ô-1.05,,
2019.05.03,175.21,171.75,182.15,164.81,182.15/td>,173.48,172.75,0.1400
,,,,,,»ó½Â0.63,,
2019.05.02,174.57,171.13,181.49,164.21,181.49/td>,172.85,172.49,0.1400
,,,,,,ÇÏ¶ô-0.08,,
2019.04.30,174.65,171.21,181.57,164.29,181.57/td>,172.93,171.93,0.1400
,,,,,,»ó½Â0.70,,
2019.04.29,173.95,170.51,180.84,163.62,180.84/td>,172.23,172.20,0.1400
,,,,,,ÇÏ¶ô-0.02,,
2019.04.26,173.97,170.53,180.86,163.64,180.86/td>,172.25,171.88,0.1400
,,,,,,ÇÏ¶ô-0.09,,
2019.04.25,174.06,170.62,180.95,163.73,180.95/td>,172.34,170.65,0.1400
,,,,,,»ó½Â1.25,,
2019.04.24,172.80,169.38,179.64,162.54,179.64/td>,171.09,169.84,0.1400
,,,,,,»ó½Â1.12,,
2019.04.23,171.66,168.28,178.46,161.48,178.46/td>,169.97,170.04,0.1400
,,,,,,ÇÏ¶ô-0.02,,
2019.04.22,171.68,168.30,178.48,161.50,178.48/td>,169.99,169.62,0.1400
,,,,,,»ó½Â0.45,,
2019.04.19,171.23,167.85,178.01,161.07,178.01/td>,169.54,169.84,0.1400
,,,,,,ÇÏ¶ô-0.16,,
2019.04.18,171.39,168.01,178.18,161.22,178.18/td>,169.70,169.49,0.1400
,,,,,,»ó½Â0.14,,
2019.04.17,171.25,167.87,178.03,161.09,178.03/td>,169.56,169.26,0.1400
,,,,,,»ó½Â0.24,,
2019.04.16,171.01,167.63,177.78,160.86,177.78/td>,169.32,168.96,0.1400
,,,,,,»ó½Â0.39,,
2019.04.15,170.61,167.25,177.37,160.49,177.37/td>,168.93,169.48,0.1400
,,,,,,ÇÏ¶ô-0.55,,
2019.04.12,171.17,167.79,177.95,161.01,177.95/td>,169.48,169.61,0.1400
,,,,,,ÇÏ¶ô-0.14,,
2019.04.11,171.31,167.93,178.10,161.14,178.10/td>,169.62,169.89,0.1400
,,,,,,»ó½Â0.11,,
2019.04.10,171.20,167.82,177.98,161.04,177.98/td>,169.51,170.06,0.1400
,,,,,,ÇÏ¶ô-0.22,,
2019.04.09,171.42,168.04,178.21,161.25,178.21/td>,169.73,169.76,0.1400
,,,,,,ÇÏ¶ô-0.61,,
2019.04.08,172.04,168.64,178.85,161.83,178.85/td>,170.34,169.27,0.1400
,,,,,,»ó½Â0.60,,
2019.04.05,171.43,168.05,178.22,161.26,178.22/td>,169.74,169.00,0.1400
,,,,,,»ó½Â0.49,,
2019.04.04,170.94,167.56,177.71,160.79,177.71/td>,169.25,168.96,0.1400
,,,,,,»ó½Â0.24,,
2019.04.03,170.70,167.32,177.46,160.56,177.46/td>,169.01,168.97,0.1400
,,,,,,ÇÏ¶ô-0.02,,
2019.04.02,170.72,167.34,177.48,160.58,177.48/td>,169.03,168.74,0.1400
,,,,,,»ó½Â0.15,,
2019.04.01,170.56,167.20,177.32,160.44,177.32/td>,168.88,168.69,0.1400
,,,,,,»ó½Â0.06,,
2019.03.29,170.50,167.14,177.26,160.38,177.26/td>,168.82,168.74,0.1400
,,,,,,ÇÏ¶ô-0.01,,
2019.03.28,170.51,167.15,177.27,160.39,177.27/td>,168.83,168.78,0.1400
,,,,,,»ó½Â0.02,,
2019.03.27,170.49,167.13,177.25,160.37,177.25/td>,168.81,168.59,0.1400
,,,,,,ÇÏ¶ô-0.11,,
2019.03.26,170.60,167.24,177.36,160.48,177.36/td>,168.92,168.89,0.1400
,,,,,,»ó½Â0.12,,
2019.03.25,170.48,167.12,177.24,160.36,177.24/td>,168.80,168.50,0.1400
,,,,,,ÇÏ¶ô-0.13,,
2019.03.22,170.61,167.25,177.37,160.49,177.37/td>,168.93,168.48,0.1400
,,,,,,»ó½Â0.15,,
2019.03.21,170.46,167.10,177.21,160.35,177.21/td>,168.78,168.24,0.1400
,,,,,,»ó½Â0.25,,
2019.03.20,170.21,166.85,176.95,160.11,176.95/td>,168.53,168.30,0.1400
,,,,,,»ó½Â0.23,,
2019.03.19,169.98,166.62,176.71,159.89,176.71/td>,168.30,168.82,0.1400
,,,,,,ÇÏ¶ô-0.39,,
2019.03.18,170.37,167.01,177.12,160.26,177.12/td>,168.69,169.05,0.1400
,,,,,,ÇÏ¶ô-0.60,,
2019.03.15,170.98,167.60,177.75,160.83,177.75/td>,169.29,168.62,0.1400
,,,,,,»ó½Â0.48,,
2019.03.14,170.49,167.13,177.25,160.37,177.25/td>,168.81,168.58,0.1400
,,,,,,»ó½Â0.11,,
2019.03.13,170.38,167.02,177.13,160.27,177.13/td>,168.70,167.89,0.1400
,,,,,,»ó½Â0.49,,
2019.03.12,169.89,166.53,176.62,159.80,176.62/td>,168.21,168.47,0.1400
,,,,,,ÇÏ¶ô-0.21,,
2019.03.11,170.10,166.74,176.84,160.00,176.84/td>,168.42,168.35,0.1400
,,,,,,ÇÏ¶ô-0.47,,
